"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 14 20:00:47 GMT 2024","Fri Jun 14 20:00:49 GMT 2024","2491","tests.ui","test_edit","","","","test_edit",""
"passed","Fri Jun 14 20:00:41 GMT 2024","Fri Jun 14 20:00:42 GMT 2024","881","tests","test_login","","","","test_successful_login",""
"passed","Fri Jun 14 20:00:34 GMT 2024","Fri Jun 14 20:00:34 GMT 2024","354","tests.api","test_api_signup","","","","test_successful_api_signup",""
"passed","Fri Jun 14 20:00:45 GMT 2024","Fri Jun 14 20:00:45 GMT 2024","677","tests.ui","test_edit","","","","test_autocomplete",""
"passed","Fri Jun 14 20:00:34 GMT 2024","Fri Jun 14 20:00:34 GMT 2024","21","tests.api","test_api_signup","","","","test_should_return_400_if_email_invalid",""
"passed","Fri Jun 14 20:00:35 GMT 2024","Fri Jun 14 20:00:35 GMT 2024","44","tests.api","test_get_users","","","","test_successful_get_users",""
"passed","Fri Jun 14 20:00:43 GMT 2024","Fri Jun 14 20:00:43 GMT 2024","684","tests","test_login","","","","test_failed_login",""
"passed","Fri Jun 14 20:00:50 GMT 2024","Fri Jun 14 20:00:50 GMT 2024","44","tests.ui","test_home","","","","test_successful_login",""
"passed","Fri Jun 14 20:00:32 GMT 2024","Fri Jun 14 20:00:33 GMT 2024","851","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Fri Jun 14 20:00:35 GMT 2024","Fri Jun 14 20:00:35 GMT 2024","9","tests.api","test_get_users","","","","test_failed_get_users_with_bad_token",""
"passed","Fri Jun 14 20:00:51 GMT 2024","Fri Jun 14 20:00:52 GMT 2024","678","tests.ui","test_login","","","","test_successful_login",""
"passed","Fri Jun 14 20:00:53 GMT 2024","Fri Jun 14 20:00:54 GMT 2024","850","tests.ui","test_register","","","","test_successful_registration_and_login",""
"passed","Fri Jun 14 20:00:34 GMT 2024","Fri Jun 14 20:00:34 GMT 2024","318","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Fri Jun 14 20:00:35 GMT 2024","Fri Jun 14 20:00:35 GMT 2024","11","tests.api","test_get_users","","","","test_get_users_no_auth_header",""
"passed","Fri Jun 14 20:00:34 GMT 2024","Fri Jun 14 20:00:34 GMT 2024","11","tests.api","test_api_signup","","","","test_should_return_400_if_username_too_short",""
"passed","Fri Jun 14 20:00:52 GMT 2024","Fri Jun 14 20:00:53 GMT 2024","681","tests.ui","test_login","","","","test_failed_login",""
"passed","Fri Jun 14 20:00:33 GMT 2024","Fri Jun 14 20:00:34 GMT 2024","349","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Fri Jun 14 20:00:34 GMT 2024","Fri Jun 14 20:00:34 GMT 2024","8","tests.api","test_api_signup","","","","test_should_return_400_if_password_too_short",""
"passed","Fri Jun 14 20:00:33 GMT 2024","Fri Jun 14 20:00:33 GMT 2024","19","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Fri Jun 14 20:00:55 GMT 2024","Fri Jun 14 20:00:55 GMT 2024","48","tests.ui","test_register","","","","test_cancel_registration_opens_login_page",""
